src,trg,item,hit,sys_0,sid_0,tst_0,rid_0,sys_1,sid_1,tst_1,rid_1,sys_2,sid_2,tst_2,rid_2,sys_3,sid_3,tst_3,rid_3,sys_4,sid_4,tst_4,rid_4,sys_5,sid_5,tst_5,rid_5,sys_6,sid_6,tst_6,rid_6,sys_7,sid_7,tst_7,rid_7,sys_8,sid_8,tst_8,rid_8,sys_9,sid_9,tst_9,rid_9,sys_10,sid_10,tst_10,rid_10,sys_11,sid_11,tst_11,rid_11,sys_12,sid_12,tst_12,rid_12,sys_13,sid_13,tst_13,rid_13,sys_14,sid_14,tst_14,rid_14,sys_15,sid_15,tst_15,rid_15,sys_16,sid_16,tst_16,rid_16,sys_17,sid_17,tst_17,rid_17,sys_18,sid_18,tst_18,rid_18,sys_19,sid_19,tst_19,rid_19,sys_20,sid_20,tst_20,rid_20,sys_21,sid_21,tst_21,rid_21,sys_22,sid_22,tst_22,rid_22,sys_23,sid_23,tst_23,rid_23,sys_24,sid_24,tst_24,rid_24,sys_25,sid_25,tst_25,rid_25,sys_26,sid_26,tst_26,rid_26,sys_27,sid_27,tst_27,rid_27,sys_28,sid_28,tst_28,rid_28,sys_29,sid_29,tst_29,rid_29,sys_30,sid_30,tst_30,rid_30,sys_31,sid_31,tst_31,rid_31,sys_32,sid_32,tst_32,rid_32,sys_33,sid_33,tst_33,rid_33,sys_34,sid_34,tst_34,rid_34,sys_35,sid_35,tst_35,rid_35,sys_36,sid_36,tst_36,rid_36,sys_37,sid_37,tst_37,rid_37,sys_38,sid_38,tst_38,rid_38,sys_39,sid_39,tst_39,rid_39,sys_40,sid_40,tst_40,rid_40,sys_41,sid_41,tst_41,rid_41,sys_42,sid_42,tst_42,rid_42,sys_43,sid_43,tst_43,rid_43,sys_44,sid_44,tst_44,rid_44,sys_45,sid_45,tst_45,rid_45,sys_46,sid_46,tst_46,rid_46,sys_47,sid_47,tst_47,rid_47,sys_48,sid_48,tst_48,rid_48,sys_49,sid_49,tst_49,rid_49,sys_50,sid_50,tst_50,rid_50,sys_51,sid_51,tst_51,rid_51,sys_52,sid_52,tst_52,rid_52,sys_53,sid_53,tst_53,rid_53,sys_54,sid_54,tst_54,rid_54,sys_55,sid_55,tst_55,rid_55,sys_56,sid_56,tst_56,rid_56,sys_57,sid_57,tst_57,rid_57,sys_58,sid_58,tst_58,rid_58,sys_59,sid_59,tst_59,rid_59,sys_60,sid_60,tst_60,rid_60,sys_61,sid_61,tst_61,rid_61,sys_62,sid_62,tst_62,rid_62,sys_63,sid_63,tst_63,rid_63,sys_64,sid_64,tst_64,rid_64,sys_65,sid_65,tst_65,rid_65,sys_66,sid_66,tst_66,rid_66,sys_67,sid_67,tst_67,rid_67,sys_68,sid_68,tst_68,rid_68,sys_69,sid_69,tst_69,rid_69,sys_70,sid_70,tst_70,rid_70,sys_71,sid_71,tst_71,rid_71,sys_72,sid_72,tst_72,rid_72,sys_73,sid_73,tst_73,rid_73,sys_74,sid_74,tst_74,rid_74,sys_75,sid_75,tst_75,rid_75,sys_76,sid_76,tst_76,rid_76,sys_77,sid_77,tst_77,rid_77,sys_78,sid_78,tst_78,rid_78,sys_79,sid_79,tst_79,rid_79,sys_80,sid_80,tst_80,rid_80,sys_81,sid_81,tst_81,rid_81,sys_82,sid_82,tst_82,rid_82,sys_83,sid_83,tst_83,rid_83,sys_84,sid_84,tst_84,rid_84,sys_85,sid_85,tst_85,rid_85,sys_86,sid_86,tst_86,rid_86,sys_87,sid_87,tst_87,rid_87,sys_88,sid_88,tst_88,rid_88,sys_89,sid_89,tst_89,rid_89,sys_90,sid_90,tst_90,rid_90,sys_91,sid_91,tst_91,rid_91,sys_92,sid_92,tst_92,rid_92,sys_93,sid_93,tst_93,rid_93,sys_94,sid_94,tst_94,rid_94,sys_95,sid_95,tst_95,rid_95,sys_96,sid_96,tst_96,rid_96,sys_97,sid_97,tst_97,rid_97,sys_98,sid_98,tst_98,rid_98,sys_99,sid_99,tst_99,rid_99
'cs','en','ad',0,'sentences','27','SYSTEM','1000444','sentences','1','SYSTEM','1000781','sentences','56','SYSTEM','1000249','sentences','11','REPEAT','1000949','sentences','13','SYSTEM','1000941','sentences','97','REF','1000823','sentences','57','SYSTEM','1000780','sentences','94','SYSTEM','1000822','sentences','71','BAD_REF','1000962','sentences','95','SYSTEM','1000745','sentences','86','REPEAT','1000539','sentences','36','SYSTEM','1000945','sentences','30','SYSTEM','1000325','sentences','2','SYSTEM','1000578','sentences','34','SYSTEM','1000023','sentences','63','REF','1000570','sentences','25','SYSTEM','1000409','sentences','83','SYSTEM','1000592','sentences','67','BAD_REF','1000089','sentences','33','SYSTEM','1000542','sentences','9','SYSTEM','1000608','sentences','96','SYSTEM','1000562','sentences','76','REF','1000360','sentences','43','SYSTEM','1000482','sentences','79','SYSTEM','1000454','sentences','18','SYSTEM','1000979','sentences','55','BAD_REF','1000267','sentences','59','REPEAT','1000797','sentences','23','SYSTEM','1000637','sentences','99','SYSTEM','1000507','sentences','41','SYSTEM','1000523','sentences','68','SYSTEM','1000554','sentences','39','SYSTEM','1000970','sentences','60','SYSTEM','1000393','sentences','7','SYSTEM','1000605','sentences','38','REPEAT','1000887','sentences','46','BAD_REF','1000335','sentences','70','SYSTEM','1000113','sentences','89','REF','1000788','sentences','21','SYSTEM','1000974','sentences','22','REPEAT','1000410','sentences','90','SYSTEM','1000854','sentences','88','SYSTEM','1000134','sentences','24','SYSTEM','1000210','sentences','81','SYSTEM','1000550','sentences','44','SYSTEM','1000174','sentences','26','SYSTEM','1000553','sentences','40','REF','1000159','sentences','66','BAD_REF','1000936','sentences','37','SYSTEM','1000734','sentences','95','REF','1000306','sentences','14','SYSTEM','1000998','sentences','11','SYSTEM','1000638','sentences','27','REPEAT','1000714','sentences','50','SYSTEM','1000743','sentences','1','BAD_REF','1000483','sentences','71','SYSTEM','1000005','sentences','82','SYSTEM','1000299','sentences','97','SYSTEM','1000399','sentences','58','SYSTEM','1000243','sentences','83','REF','1000062','sentences','63','SYSTEM','1000794','sentences','87','SYSTEM','1000215','sentences','30','REPEAT','1000758','sentences','2','BAD_REF','1000732','sentences','45','SYSTEM','1000817','sentences','86','SYSTEM','1000959','sentences','67','SYSTEM','1000549','sentences','69','SYSTEM','1000932','sentences','52','SYSTEM','1000220','sentences','55','SYSTEM','1000295','sentences','76','SYSTEM','1000044','sentences','6','SYSTEM','1000580','sentences','59','SYSTEM','1000873','sentences','96','REF','1000980','sentences','78','SYSTEM','1000237','sentences','23','REPEAT','1000031','sentences','54','SYSTEM','1000298','sentences','99','BAD_REF','1000739','sentences','47','SYSTEM','1000114','sentences','70','BAD_REF','1000443','sentences','7','REPEAT','1000825','sentences','75','SYSTEM','1000524','sentences','61','SYSTEM','1000506','sentences','31','SYSTEM','1000493','sentences','60','REF','1000560','sentences','38','SYSTEM','1000065','sentences','46','SYSTEM','1000899','sentences','62','SYSTEM','1000037','sentences','89','SYSTEM','1000968','sentences','66','SYSTEM','1000967','sentences','64','SYSTEM','1000951','sentences','40','SYSTEM','1000264','sentences','24','BAD_REF','1000448','sentences','26','REF','1000226','sentences','22','SYSTEM','1000657','sentences','88','REPEAT','1000167','sentences','84','SYSTEM','1000757','sentences','93','SYSTEM','1000014','sentences','20','SYSTEM','1000685'
'cs','en','ad',1,'sentences','35','SYSTEM','1000090','sentences','27','REF','1000173','sentences','73','SYSTEM','1000585','sentences','65','SYSTEM','1000132','sentences','34','REPEAT','1000218','sentences','72','SYSTEM','1000467','sentences','25','BAD_REF','1000544','sentences','3','SYSTEM','1000625','sentences','12','SYSTEM','1000180','sentences','85','SYSTEM','1000947','sentences','91','SYSTEM','1000853','sentences','23','BAD_REF','1000952','sentences','17','SYSTEM','1000416','sentences','100','SYSTEM','1000356','sentences','48','SYSTEM','1000349','sentences','49','SYSTEM','1000064','sentences','19','SYSTEM','1000469','sentences','43','REPEAT','1000636','sentences','18','REF','1000057','sentences','10','SYSTEM','1000121','sentences','68','REF','1000016','sentences','8','SYSTEM','1000229','sentences','5','SYSTEM','1000127','sentences','96','BAD_REF','1000595','sentences','70','REPEAT','1000376','sentences','53','SYSTEM','1000372','sentences','15','SYSTEM','1000216','sentences','77','SYSTEM','1000946','sentences','42','SYSTEM','1000383','sentences','32','SYSTEM','1000238','sentences','92','SYSTEM','1000419','sentences','98','SYSTEM','1000081','sentences','88','REPEAT','1000272','sentences','16','SYSTEM','1000769','sentences','80','SYSTEM','1000557','sentences','51','SYSTEM','1000083','sentences','29','SYSTEM','1000333','sentences','4','SYSTEM','1000359','sentences','39','REF','1000702','sentences','37','BAD_REF','1000244','sentences','28','SYSTEM','1000170','sentences','44','REPEAT','1000411','sentences','13','SYSTEM','1000767','sentences','74','SYSTEM','1000618','sentences','82','BAD_REF','1000395','sentences','94','SYSTEM','1000812','sentences','1','SYSTEM','1000499','sentences','95','SYSTEM','1000092','sentences','57','SYSTEM','1000939','sentences','14','REF','1000986','sentences','30','SYSTEM','1000984','sentences','25','SYSTEM','1000075','sentences','33','SYSTEM','1000588','sentences','83','SYSTEM','1000102','sentences','12','REPEAT','1000731','sentences','72','BAD_REF','1000241','sentences','35','REF','1000528','sentences','27','SYSTEM','1000876','sentences','56','SYSTEM','1000302','sentences','34','SYSTEM','1000705','sentences','49','REF','1000790','sentences','99','SYSTEM','1000380','sentences','23','SYSTEM','1000329','sentences','19','BAD_REF','1000245','sentences','43','SYSTEM','1000242','sentences','36','SYSTEM','1000709','sentences','2','SYSTEM','1000808','sentences','48','REPEAT','1000045','sentences','9','SYSTEM','1000635','sentences','18','SYSTEM','1000293','sentences','7','SYSTEM','1000323','sentences','70','SYSTEM','1000527','sentences','68','SYSTEM','1000678','sentences','77','REPEAT','1000701','sentences','21','SYSTEM','1000486','sentences','32','BAD_REF','1000028','sentences','8','REF','1000683','sentences','79','SYSTEM','1000569','sentences','96','SYSTEM','1000738','sentences','60','SYSTEM','1000722','sentences','88','SYSTEM','1000480','sentences','80','REF','1000420','sentences','92','BAD_REF','1000787','sentences','39','SYSTEM','1000199','sentences','26','SYSTEM','1000304','sentences','81','SYSTEM','1000930','sentences','37','SYSTEM','1000918','sentences','41','SYSTEM','1000859','sentences','90','SYSTEM','1000164','sentences','98','REPEAT','1000248','sentences','24','SYSTEM','1000268','sentences','74','REF','1000146','sentences','28','BAD_REF','1000198','sentences','11','SYSTEM','1000742','sentences','50','SYSTEM','1000341','sentences','44','SYSTEM','1000602','sentences','14','SYSTEM','1000646','sentences','82','SYSTEM','1000108','sentences','95','REPEAT','1000498','sentences','97','SYSTEM','1000978'
