,Vt,Vm,V0,Vform,SVA,ArtOrDet,Nn,Npos,Pform,Pref,Prep,Wci,Wa,Wform,Wtone,Srun,Smod,Spar,Sfrag,Ssub,WOinc,WOadv,Trans,Mec,Rloc-,Cit,Others,Um
iter1595,23,16,21,25,24,3,14,1,19,18,7,4,26,17,6,9,27,12,22,5,10,8,13,15,11,0,2,20
iter1596,20,23,16,26,24,4,9,0,21,17,10,8,1,22,19,11,27,13,7,2,12,5,18,15,14,3,6,25
iter1597,22,19,21,26,23,4,9,3,12,7,14,5,2,18,17,15,27,10,24,1,20,8,11,13,16,0,6,25
iter1598,22,18,20,25,21,6,10,4,12,3,9,7,23,19,2,5,27,14,24,1,16,8,13,17,15,0,11,26
iter1599,20,21,12,25,23,4,16,2,0,6,10,8,22,19,3,11,27,7,26,14,18,5,13,17,15,1,9,24
iter1600,18,25,2,26,23,5,17,4,7,3,12,6,1,15,10,21,27,22,19,16,9,8,14,20,13,0,11,24
iter1601,21,19,14,26,25,5,15,4,2,6,8,9,0,20,10,18,27,17,3,13,23,7,16,22,12,1,11,24
iter1602,21,18,22,26,24,6,17,3,5,10,14,7,1,20,4,8,27,2,23,9,16,11,19,15,13,0,12,25
iter1603,21,24,3,26,23,6,16,0,2,12,11,8,4,17,15,14,27,5,20,7,10,13,22,18,19,1,9,25
iter1604,24,23,15,26,25,5,17,4,0,3,11,9,10,20,6,7,27,21,14,2,19,12,18,16,13,1,8,22
iter1605,23,18,10,26,24,7,12,3,14,15,16,8,0,22,13,11,27,9,2,5,21,4,17,19,20,1,6,25
iter1606,18,20,16,26,23,4,11,2,0,3,8,6,13,17,12,15,27,9,19,5,21,10,22,24,14,1,7,25
iter1607,16,14,11,26,25,3,10,0,13,8,9,7,6,21,23,17,27,20,12,1,18,4,15,22,19,2,5,24
iter1608,22,24,13,26,23,5,16,2,7,9,14,8,0,19,10,12,27,15,3,21,20,4,11,18,17,1,6,25
iter1609,22,23,15,25,24,4,16,2,18,1,17,5,11,20,3,6,27,7,12,8,14,10,13,21,19,0,9,26
iter1610,23,21,2,26,25,5,17,0,4,9,16,6,14,20,10,18,27,8,19,3,13,12,11,22,15,1,7,24
iter1611,20,17,14,26,23,6,13,2,15,1,10,5,4,19,3,16,27,21,25,8,11,9,18,22,12,0,7,24
iter1612,23,17,9,26,22,12,15,2,0,6,16,10,20,21,8,14,27,7,5,1,24,3,13,19,18,4,11,25
iter1613,21,8,25,24,22,7,16,5,13,2,11,4,0,19,18,15,27,6,23,12,9,1,14,20,17,3,10,26
iter1614,22,23,24,26,20,5,15,2,7,9,13,3,0,21,14,11,27,10,12,4,18,8,17,19,16,1,6,25
iter1615,22,20,16,26,24,8,14,5,2,12,13,3,1,23,6,18,27,9,21,7,11,4,17,19,15,0,10,25
iter1616,22,17,6,26,25,4,18,2,21,3,8,7,0,19,5,23,27,20,13,11,12,9,14,16,15,1,10,24
iter1617,23,25,21,26,22,4,18,2,5,7,11,9,3,20,1,6,27,13,10,17,16,15,12,19,14,0,8,24
iter1618,16,22,12,23,24,5,14,2,1,3,13,8,26,21,10,9,27,11,19,7,17,0,15,20,18,4,6,25
iter1619,22,23,14,25,24,9,13,2,1,10,12,8,0,17,18,5,27,20,3,7,21,11,15,19,16,4,6,26
iter1620,20,22,21,25,24,8,16,2,4,13,14,10,1,23,3,7,27,9,6,11,15,12,18,19,17,0,5,26
iter1621,21,19,20,26,25,3,13,1,2,5,10,6,23,17,7,4,27,12,22,9,16,14,15,18,11,0,8,24
iter1622,23,2,9,25,24,7,11,1,6,5,13,10,17,21,8,12,27,3,19,22,15,14,18,20,16,0,4,26
iter1623,21,22,9,26,24,6,15,20,3,7,16,8,1,14,4,12,25,11,27,5,17,2,13,19,18,0,10,23
iter1624,23,10,17,27,20,4,16,2,1,21,12,6,5,25,3,22,13,11,15,18,9,7,24,19,14,0,8,26
iter1625,16,15,2,26,24,4,21,1,12,6,13,9,14,19,3,10,27,8,18,11,20,7,17,23,22,0,5,25
iter1626,24,22,14,26,23,10,21,2,1,8,17,11,3,19,9,12,27,15,7,18,6,4,13,20,16,0,5,25
iter1627,20,23,15,27,24,5,17,4,0,6,13,10,8,18,9,12,26,22,11,1,14,7,21,19,16,2,3,25
iter1628,22,23,7,26,24,10,17,0,3,18,9,5,1,15,11,13,27,14,16,20,8,4,6,21,19,2,12,25
iter1629,21,26,17,24,22,5,14,8,2,10,13,7,1,18,4,11,27,16,23,3,15,9,12,20,19,0,6,25
iter1630,20,24,11,26,22,5,15,2,12,10,6,14,0,16,9,7,27,18,25,3,21,13,8,19,17,1,4,23
iter1631,18,19,20,26,25,5,14,1,0,4,13,8,12,23,3,9,27,17,10,11,16,6,15,22,21,2,7,24
iter1632,18,13,5,25,21,2,12,3,24,10,6,9,26,23,14,8,27,20,16,17,4,1,11,19,15,0,7,22
iter1633,17,23,6,26,24,5,14,11,1,4,12,7,2,20,16,19,27,13,22,3,21,10,9,18,15,0,8,25
iter1634,19,21,9,26,25,11,16,3,1,8,12,10,23,18,4,15,27,14,22,5,7,2,13,20,17,0,6,24
iter1635,22,14,13,26,19,5,12,10,1,8,7,6,4,21,9,18,27,24,17,3,15,2,23,20,16,0,11,25
iter1636,19,21,6,26,25,4,17,2,3,11,5,7,0,20,13,14,27,10,23,24,15,8,9,18,16,1,12,22
iter1637,22,20,25,27,24,6,19,2,8,4,16,9,10,21,3,1,5,12,15,13,18,7,14,23,17,0,11,26
iter1638,21,23,25,26,24,5,18,3,1,13,9,7,0,20,11,17,27,14,10,6,15,12,8,19,16,2,4,22
iter1639,20,23,10,26,22,3,12,2,21,11,7,9,0,24,16,17,27,13,14,6,8,4,19,15,18,1,5,25
iter1640,21,20,16,25,19,8,12,6,3,7,11,4,26,22,17,2,27,14,24,15,9,1,10,18,13,0,5,23
iter1641,21,18,13,26,25,6,16,1,4,11,7,8,0,24,15,5,27,14,20,9,12,2,17,22,19,3,10,23
iter1642,20,26,22,25,23,8,16,1,5,10,15,7,18,19,4,11,27,17,9,3,12,2,13,21,14,0,6,24
iter1643,22,25,16,26,24,4,18,12,6,2,8,10,3,19,15,1,27,11,20,14,17,7,5,21,13,0,9,23
iter1644,21,27,18,26,22,7,13,1,2,12,15,4,3,20,8,9,24,6,25,5,16,11,17,19,14,0,10,23
iter1645,20,24,13,25,21,7,12,3,4,5,14,8,0,23,9,19,27,6,15,2,11,16,22,18,17,1,10,26
iter1646,17,18,11,27,23,6,14,1,13,3,7,9,0,22,12,20,26,10,15,25,4,24,8,19,16,2,5,21
iter1647,21,12,7,24,25,4,14,3,2,9,16,8,0,19,18,11,27,10,23,13,20,1,22,17,15,5,6,26
iter1648,23,18,11,26,24,6,14,0,2,4,12,8,5,21,15,7,27,17,16,22,13,10,9,20,19,1,3,25
iter1649,22,23,9,26,24,7,18,2,0,10,12,11,20,19,3,4,27,21,5,8,14,13,15,16,17,1,6,25
iter1650,23,26,19,27,22,4,15,1,3,12,9,6,0,16,10,17,25,18,5,13,8,20,11,21,14,2,7,24
iter1651,22,23,19,26,25,3,16,0,2,11,13,8,5,18,14,7,27,9,21,17,12,6,10,20,15,1,4,24
iter1652,20,21,8,26,24,6,13,10,22,7,15,3,1,18,5,12,27,11,25,9,17,4,19,14,16,0,2,23
iter1653,21,22,19,26,24,6,10,1,7,11,14,3,5,20,2,13,27,9,17,23,8,15,12,18,16,0,4,25
iter1654,20,21,11,25,23,3,13,0,26,8,15,10,4,19,22,16,27,1,7,2,14,9,12,17,18,6,5,24
iter1655,20,23,21,26,24,6,11,0,9,5,14,8,1,19,12,17,27,22,15,4,10,2,16,18,13,3,7,25
iter1656,19,26,18,25,23,5,15,0,4,11,10,8,9,20,7,12,27,21,3,2,22,14,13,17,16,1,6,24
iter1657,22,17,16,25,24,4,12,21,5,2,10,9,1,13,19,15,27,7,23,3,14,6,8,18,20,0,11,26
iter1658,23,26,18,27,24,4,11,1,12,2,15,3,10,21,7,5,22,9,16,6,17,20,14,19,13,0,8,25
iter1659,24,8,18,26,22,6,14,5,3,9,13,12,2,23,11,19,25,17,1,10,16,4,15,21,20,0,7,27
iter1660,20,24,8,26,22,5,19,2,3,6,16,7,0,25,4,17,27,14,12,11,13,15,9,21,18,1,10,23
iter1661,22,23,13,26,21,6,19,2,0,5,15,9,25,14,8,12,27,11,4,16,20,7,10,18,17,1,3,24
iter1662,22,16,15,26,24,4,11,18,2,5,9,8,0,21,10,23,27,19,3,12,14,6,13,17,20,1,7,25
iter1663,20,27,25,26,23,5,14,2,15,8,12,10,3,21,7,11,22,13,6,4,17,1,18,19,16,0,9,24
iter1664,19,24,18,26,23,5,11,14,2,9,13,7,0,20,16,12,27,6,22,10,17,3,8,21,15,1,4,25
iter1665,21,23,14,27,22,7,11,2,5,4,15,6,25,18,12,19,26,10,3,9,13,8,17,20,16,0,1,24
iter1666,23,18,20,26,24,10,19,0,1,6,4,5,15,22,13,12,27,9,8,7,17,11,14,21,16,2,3,25
iter1667,20,23,16,26,24,5,17,7,9,3,13,4,0,21,12,18,27,6,15,14,11,1,8,22,19,2,10,25
iter1668,20,18,14,25,21,3,10,0,8,9,13,6,19,24,12,7,27,22,23,2,15,4,11,17,16,1,5,26
iter1669,20,23,14,26,24,7,18,4,0,12,15,6,8,22,3,11,27,16,10,5,21,9,13,17,19,1,2,25
iter1670,20,19,5,27,25,8,17,9,22,12,13,10,0,23,15,16,7,4,26,2,11,3,14,21,18,1,6,24
iter1671,24,8,11,27,26,9,12,0,3,5,13,7,15,18,4,14,22,20,21,2,23,10,19,16,17,1,6,25
iter1672,21,26,24,27,23,8,15,2,5,1,9,11,0,19,7,12,18,14,16,4,20,10,13,22,17,3,6,25
iter1673,21,25,6,26,24,8,17,0,7,16,12,9,15,20,3,13,27,10,22,11,18,1,4,19,14,2,5,23
iter1674,19,22,9,26,25,4,17,2,3,8,13,5,0,23,11,16,27,12,6,14,20,10,21,18,15,1,7,24
iter1675,20,13,14,27,24,4,16,5,10,1,12,6,23,21,9,11,26,22,18,7,8,3,15,19,17,0,2,25
iter1676,23,22,17,26,25,4,15,0,1,5,14,8,7,21,9,10,27,3,13,12,16,20,11,19,18,2,6,24
iter1677,21,22,19,25,23,8,9,4,0,7,12,13,2,17,6,11,27,5,26,1,14,10,20,18,16,3,15,24
iter1678,13,23,2,26,24,5,20,0,10,3,11,7,25,18,12,8,27,22,6,14,21,4,15,17,16,1,9,19
iter1679,19,22,20,26,24,4,13,1,21,2,16,7,3,10,8,11,27,5,23,9,18,15,12,17,14,0,6,25
iter1680,19,25,23,26,24,9,13,1,3,2,14,8,4,21,11,12,27,10,7,16,20,5,15,17,18,0,6,22
iter1681,21,24,20,26,23,6,15,0,2,13,10,9,1,19,7,11,27,12,22,8,17,4,14,18,16,3,5,25
iter1682,21,13,17,26,24,9,22,1,12,5,7,8,11,23,10,6,27,3,14,20,15,2,16,19,18,0,4,25
iter1683,21,20,12,26,23,4,11,2,1,3,7,5,16,22,10,9,25,13,24,15,19,6,18,17,14,0,8,27
iter1684,21,13,14,26,24,6,12,4,0,9,18,5,23,22,3,19,27,8,10,2,11,15,16,20,17,1,7,25
iter1685,21,12,20,24,23,3,17,0,1,5,8,7,16,22,4,11,27,6,26,13,15,9,18,19,14,2,10,25
iter1686,21,18,23,25,22,2,12,0,1,5,16,4,26,19,20,15,27,8,10,7,9,6,11,17,14,3,13,24
iter1687,22,24,13,26,23,5,12,1,10,7,8,4,15,21,9,11,27,17,16,6,20,2,14,19,18,0,3,25
iter1688,19,21,9,25,24,3,15,2,10,8,11,6,1,13,17,12,27,20,26,7,22,4,14,18,16,0,5,23
iter1689,23,22,10,26,24,4,16,1,2,5,9,7,21,20,11,17,27,15,18,8,14,6,13,19,12,0,3,25
iter1690,19,24,3,25,23,6,13,8,4,2,16,10,27,14,11,15,26,1,21,9,12,5,18,20,17,0,7,22
iter1691,20,22,16,26,23,5,13,1,3,8,15,10,0,19,4,11,27,12,17,24,6,9,18,21,14,2,7,25
iter1692,21,23,13,26,24,5,16,4,1,6,15,8,2,17,9,12,27,22,11,10,14,3,19,20,18,0,7,25
iter1693,20,19,23,25,24,3,10,2,4,6,12,8,17,21,9,15,27,18,26,13,11,1,7,14,16,0,5,22
iter1694,21,24,17,26,25,6,19,13,1,4,11,10,0,22,8,7,27,12,15,5,14,3,16,20,18,2,9,23
iter1695,23,13,10,26,25,5,16,1,9,11,14,6,0,21,8,17,27,15,12,7,4,20,18,22,19,2,3,24
iter1696,17,20,4,27,26,3,10,7,1,2,12,8,0,22,14,13,24,9,23,18,19,16,11,21,15,6,5,25
iter1697,20,22,19,26,23,3,14,2,1,7,11,6,24,21,8,4,27,10,18,13,12,5,17,15,16,0,9,25
iter1698,20,22,16,26,23,9,13,4,2,8,10,11,1,21,5,12,27,17,25,7,6,14,15,19,18,0,3,24
iter1699,21,24,3,26,20,9,13,0,4,6,7,8,18,19,14,12,27,22,10,17,16,1,11,23,15,5,2,25
iter1700,22,8,21,26,23,3,10,1,0,9,11,7,6,24,14,17,27,20,19,12,18,5,13,15,16,2,4,25
iter1701,22,23,16,26,25,7,12,2,1,6,10,8,3,20,4,17,27,14,18,11,15,5,19,21,13,0,9,24
iter1702,18,25,20,26,23,3,11,0,1,9,12,8,4,17,21,5,27,6,7,13,22,16,15,19,14,2,10,24
iter1703,22,26,5,27,24,4,16,1,13,3,11,6,0,21,15,19,25,9,18,14,17,7,8,20,12,2,10,23
iter1704,20,17,22,27,23,7,14,6,2,1,11,9,0,21,13,10,25,4,24,18,3,12,16,19,15,5,8,26
iter1705,22,17,16,26,24,5,13,4,2,6,14,7,3,18,9,21,27,20,11,1,10,12,19,23,15,0,8,25
iter1706,24,21,22,26,25,8,16,6,3,5,18,10,9,19,2,15,27,11,0,7,12,13,14,20,17,1,4,23
iter1707,21,24,18,26,23,7,11,4,3,19,13,8,12,22,16,6,27,9,2,0,14,1,10,20,17,5,15,25
iter1708,21,25,6,27,24,8,17,0,2,12,10,11,5,20,14,15,26,4,23,3,19,7,13,18,16,1,9,22
iter1709,23,22,9,27,25,6,15,1,2,3,13,10,5,19,12,4,26,17,21,7,11,8,16,20,18,0,14,24
iter1710,21,24,8,26,23,9,16,5,2,4,6,10,0,18,7,15,27,11,22,13,14,12,20,19,17,1,3,25
iter1711,20,8,17,26,24,6,16,1,5,10,12,7,4,18,15,23,27,14,22,2,21,3,11,19,13,0,9,25
iter1712,22,21,7,26,24,9,20,3,0,4,17,10,5,18,11,6,27,13,14,8,19,2,15,23,16,1,12,25
iter1713,21,25,20,24,26,5,15,3,2,8,10,7,0,23,6,14,27,13,11,12,18,4,19,22,16,1,9,17
iter1714,23,24,9,26,25,4,16,5,0,8,11,12,7,18,13,14,27,10,20,15,6,3,19,22,17,2,1,21
iter1715,22,13,17,26,25,8,12,6,0,1,16,5,4,20,3,15,27,11,14,9,23,10,18,21,19,2,7,24
iter1716,17,18,10,26,25,6,13,1,3,9,7,8,4,20,16,15,27,21,22,23,11,2,12,19,14,0,5,24
iter1717,15,18,12,26,23,4,16,1,2,9,10,5,22,21,3,8,27,17,24,20,7,14,11,19,13,0,6,25
iter1718,22,21,9,24,27,6,20,2,0,5,10,4,1,12,11,13,26,17,15,7,18,14,16,23,19,3,8,25
iter1719,23,24,12,27,26,5,14,7,1,17,10,15,6,19,3,8,21,11,22,9,20,0,13,18,16,2,4,25
iter1720,20,21,13,26,24,3,6,1,19,2,12,5,8,17,11,10,27,15,23,9,22,7,16,18,14,0,4,25
iter1721,23,22,19,27,25,4,15,3,0,7,13,8,9,18,6,16,21,10,11,14,17,2,12,24,20,1,5,26
iter1722,23,22,12,25,24,6,13,0,2,10,15,9,4,20,11,5,27,16,21,3,14,19,8,18,17,1,7,26
iter1723,23,24,21,26,22,10,18,5,3,4,15,9,0,20,13,7,27,8,12,11,17,2,14,19,16,1,6,25
iter1724,22,26,10,27,23,5,15,4,1,8,6,9,24,20,13,11,25,19,14,3,7,12,17,21,16,0,2,18
iter1725,22,3,7,26,24,4,17,0,5,8,14,9,2,20,21,15,27,12,16,10,18,1,13,23,19,6,11,25
iter1726,19,26,21,23,25,5,14,3,1,9,12,7,0,20,4,11,27,17,22,6,8,16,15,18,13,2,10,24
iter1727,25,24,14,26,22,5,15,1,6,10,16,12,4,17,11,19,27,7,8,3,18,2,9,21,20,0,13,23
iter1728,23,20,16,26,24,3,14,1,9,6,12,5,15,18,8,4,27,22,10,21,11,2,17,19,13,0,7,25
iter1729,21,23,5,27,26,3,19,2,0,7,12,6,4,24,10,18,16,15,20,22,8,9,13,17,14,1,11,25
iter1730,18,26,21,25,23,3,13,7,1,2,12,11,9,20,5,8,27,17,15,4,14,6,19,22,16,0,10,24
iter1731,22,24,15,26,25,7,17,4,2,6,12,10,14,21,9,16,27,11,19,1,13,3,8,20,18,0,5,23
iter1732,23,19,22,26,24,5,20,7,3,6,8,10,1,14,9,16,27,15,18,0,13,2,12,21,17,4,11,25
iter1733,19,25,23,24,26,5,13,3,2,8,10,7,0,20,6,9,27,22,17,21,18,11,12,15,16,1,4,14
iter1734,18,23,21,27,25,7,16,2,3,13,10,9,0,20,4,12,26,14,24,5,8,6,17,22,15,1,11,19
iter1735,22,23,10,26,25,2,15,3,4,7,12,6,8,16,14,20,27,13,17,11,9,5,21,19,18,0,1,24
iter1736,23,24,11,25,22,4,15,3,0,10,19,7,5,21,13,6,27,8,12,1,16,18,20,17,14,2,9,26
iter1737,21,11,19,27,24,3,18,1,7,4,9,5,23,14,10,8,25,12,22,16,17,6,13,20,15,0,2,26
iter1738,19,20,21,23,25,6,16,5,0,9,15,8,12,18,7,10,27,11,26,2,14,3,13,22,17,1,4,24
iter1739,19,25,6,26,23,7,10,2,15,9,13,5,21,20,4,14,27,17,1,12,11,22,8,18,16,0,3,24
iter1740,20,21,23,26,22,8,14,1,4,12,15,7,0,18,5,6,27,11,24,17,13,3,10,19,16,2,9,25
iter1741,21,25,10,26,23,7,13,2,18,6,12,8,1,20,3,11,27,14,22,0,9,5,16,19,15,4,17,24
iter1742,22,24,4,26,18,7,12,2,1,8,10,9,0,19,6,21,27,17,23,11,16,15,13,20,14,3,5,25
iter1743,20,22,6,26,23,4,12,3,0,5,15,8,24,18,11,19,27,7,21,9,16,2,13,14,17,1,10,25
iter1744,20,24,13,26,23,7,11,5,2,10,12,8,15,21,9,17,27,6,25,3,14,1,18,19,16,0,4,22
iter1745,21,17,20,26,24,7,18,1,3,8,13,10,0,22,19,11,27,16,4,12,9,5,15,23,14,2,6,25
iter1746,21,19,17,26,22,3,15,12,13,2,9,8,1,20,6,7,27,11,24,23,14,5,10,18,16,0,4,25
iter1747,24,19,16,26,23,5,17,2,7,3,10,8,0,20,9,12,27,11,21,14,25,4,13,18,15,1,6,22
iter1748,23,3,10,26,24,7,13,5,11,8,14,12,0,19,4,6,27,20,22,21,16,1,15,18,17,2,9,25
iter1749,22,23,14,26,25,7,18,6,2,5,12,8,0,21,11,9,27,15,10,13,19,3,16,20,17,1,4,24
iter1750,23,17,11,24,26,5,16,1,2,6,15,7,21,20,10,18,27,13,22,8,12,4,9,19,14,0,3,25
iter1751,19,23,21,26,25,2,12,4,8,11,10,5,0,15,18,13,27,6,24,3,17,9,16,20,14,1,7,22
iter1752,23,10,18,26,19,8,13,0,4,12,11,5,2,22,17,6,27,16,15,24,9,3,21,25,14,1,7,20
iter1753,21,23,10,26,22,5,12,2,9,3,16,6,27,18,1,11,24,19,14,13,8,4,15,20,17,0,7,25
iter1754,20,16,15,24,25,3,9,2,4,11,14,10,8,22,6,19,27,17,7,12,18,1,13,23,21,0,5,26
iter1755,22,17,15,25,24,5,18,1,8,3,14,6,12,23,7,21,27,4,20,11,16,2,9,19,13,0,10,26
iter1756,22,25,17,26,21,6,16,2,1,12,13,7,3,19,9,15,27,11,8,10,24,5,18,20,14,0,4,23
iter1757,24,11,10,26,25,3,12,1,7,4,13,5,20,15,6,8,27,9,19,16,14,21,17,22,18,0,2,23
iter1758,16,18,21,26,24,3,13,2,11,1,14,6,5,19,12,9,27,10,23,4,22,8,20,17,15,0,7,25
iter1759,18,20,21,27,23,5,13,17,8,6,14,7,24,22,3,1,26,9,10,12,19,11,2,15,16,0,4,25
iter1760,24,26,5,27,22,6,13,9,2,16,19,8,0,23,18,11,12,17,14,4,10,7,21,20,15,1,3,25
iter1761,22,23,10,26,25,4,15,1,9,18,14,3,8,19,2,7,27,5,21,16,13,6,17,20,12,0,11,24
iter1762,21,23,25,27,19,5,18,0,9,1,17,7,14,15,3,6,26,20,11,10,12,4,13,22,16,2,8,24
iter1763,20,12,19,25,23,6,11,1,0,7,9,5,14,16,3,18,27,22,10,8,15,13,24,21,17,2,4,26
iter1764,23,15,14,27,21,2,13,17,7,8,9,3,25,20,4,16,26,5,22,6,18,10,11,19,12,0,1,24
iter1765,22,20,8,26,23,7,10,1,13,15,11,6,0,16,4,17,27,18,9,3,24,12,14,21,19,2,5,25
iter1766,21,20,8,26,24,6,16,7,4,2,11,9,0,14,5,12,27,17,19,23,13,3,18,22,15,1,10,25
iter1767,21,17,22,25,24,5,12,10,9,14,13,6,26,20,1,18,27,7,11,2,3,8,15,19,16,0,4,23
iter1768,21,23,19,24,20,1,15,10,0,6,5,8,27,16,2,18,26,11,22,3,12,4,9,14,17,7,13,25
iter1769,20,21,16,25,24,4,17,14,6,9,10,7,2,22,8,12,27,11,23,5,13,1,15,18,19,0,3,26
iter1770,20,25,23,26,19,7,15,0,3,9,13,8,2,18,17,6,27,10,22,21,16,4,14,11,12,1,5,24
iter1771,20,25,11,26,24,6,8,1,4,10,12,5,9,19,15,3,27,7,17,2,16,21,13,23,18,0,14,22
iter1772,24,21,12,25,23,8,17,2,4,7,19,9,0,20,6,11,27,15,13,5,18,10,16,22,14,1,3,26
iter1773,20,24,17,26,23,5,10,0,12,4,7,8,11,22,2,9,27,18,15,1,14,16,13,21,19,3,6,25
iter1774,22,24,17,25,23,7,14,1,5,8,16,12,2,20,15,10,27,11,9,6,19,3,13,21,18,0,4,26
iter1775,21,22,10,26,25,4,14,1,7,6,11,8,13,16,5,19,27,9,24,18,17,2,15,20,12,0,3,23
iter1776,23,26,13,22,21,3,14,0,9,5,12,11,24,18,6,10,27,8,19,2,17,4,16,20,15,1,7,25
iter1777,21,24,20,26,23,4,10,1,0,6,13,7,12,18,11,14,27,17,22,5,9,2,19,16,15,3,8,25
iter1778,21,15,22,25,24,6,16,3,2,5,12,7,1,23,13,11,27,14,9,8,10,19,17,20,18,0,4,26
iter1779,22,19,8,25,24,5,16,1,7,12,15,9,2,17,10,13,27,6,23,11,21,3,14,20,18,0,4,26
iter1780,21,16,2,27,25,3,11,10,20,7,19,6,26,18,5,9,22,12,13,1,23,8,14,17,15,4,0,24
iter1781,23,22,24,26,21,6,14,0,1,9,15,10,11,17,5,18,27,7,3,19,13,8,16,20,12,2,4,25
iter1782,19,24,20,27,22,6,13,2,7,5,14,9,1,17,8,4,26,3,23,12,11,21,10,18,16,0,15,25
iter1783,18,22,12,26,24,7,14,6,4,8,9,10,11,19,5,13,27,17,23,2,20,1,21,15,16,0,3,25
iter1784,23,8,2,26,24,6,15,0,19,3,14,10,12,22,9,18,27,17,21,7,11,5,13,20,16,1,4,25
iter1785,19,23,7,24,25,6,14,2,0,10,11,9,20,21,5,15,27,22,18,3,8,12,13,16,17,1,4,26
iter1786,24,15,14,26,22,4,13,6,1,8,11,9,25,21,16,7,27,10,12,5,17,2,20,19,18,0,3,23
iter1787,16,20,22,26,24,8,14,17,4,5,15,9,23,21,3,10,27,11,19,6,13,1,7,18,12,0,2,25
iter1788,20,25,6,26,19,4,15,0,3,9,12,8,2,16,7,14,27,18,24,22,10,11,21,17,13,1,5,23
iter1789,22,23,19,26,24,3,8,5,15,0,9,7,2,16,21,10,27,13,20,4,11,12,17,14,18,1,6,25
iter1790,22,20,18,26,25,6,14,2,3,12,9,8,4,21,11,15,27,16,24,0,5,7,19,17,13,1,10,23
iter1791,22,23,19,24,26,2,14,8,5,17,12,7,0,21,6,11,27,4,10,15,1,16,18,20,13,3,9,25
iter1792,20,18,12,26,24,5,16,2,3,6,17,8,0,22,4,9,27,14,21,19,13,11,10,23,15,1,7,25
iter1793,22,9,12,26,24,4,18,5,17,3,14,8,0,23,13,19,27,7,2,6,15,10,21,20,16,1,11,25
iter1794,19,11,15,25,24,6,16,10,1,7,18,9,20,23,8,4,27,12,17,3,21,2,14,22,13,0,5,26
iter1795,19,23,20,25,22,6,15,3,1,4,12,7,0,21,10,11,27,14,26,8,18,5,13,16,17,2,9,24
iter1796,23,18,10,26,24,5,12,6,0,4,15,9,2,21,13,19,25,11,17,7,14,8,20,22,16,1,3,27
iter1797,25,18,12,27,24,2,16,5,3,8,15,6,23,20,13,10,26,9,1,11,7,14,21,19,17,0,4,22
iter1798,22,26,15,25,23,6,16,0,7,4,8,3,13,18,14,12,27,9,21,10,11,2,17,20,19,1,5,24
iter1799,22,21,19,26,25,6,16,4,2,13,15,8,0,23,3,9,27,10,18,5,14,11,17,20,12,1,7,24
iter1800,24,25,19,26,22,2,14,4,1,7,10,5,3,23,16,8,27,13,15,12,21,6,11,18,17,0,9,20
iter1801,22,21,15,26,24,7,14,2,1,10,13,8,0,20,11,23,27,16,5,6,19,9,12,18,17,3,4,25
iter1802,23,15,11,26,21,7,14,5,1,4,12,10,3,22,8,13,27,17,19,0,24,6,16,18,20,2,9,25
iter1803,22,26,21,25,23,5,16,2,3,8,13,7,0,15,18,17,27,11,10,19,4,6,9,14,20,1,12,24
iter1804,18,21,22,26,23,3,17,1,0,7,10,6,11,16,5,8,27,12,25,2,13,19,15,20,14,4,9,24
iter1805,18,20,16,26,25,6,14,4,0,8,15,10,1,22,9,17,27,5,23,7,12,11,13,21,19,2,3,24
iter1806,23,24,14,26,25,9,16,8,4,3,13,10,0,15,11,22,27,19,1,5,21,7,12,18,17,2,6,20
iter1807,20,24,13,26,25,6,15,2,7,10,12,8,0,17,9,14,27,22,3,1,21,11,19,18,16,4,5,23
iter1808,22,19,12,25,24,9,21,1,2,7,13,10,3,23,5,14,27,6,17,8,15,4,16,20,18,0,11,26
iter1809,22,4,20,26,24,6,12,0,7,1,8,10,14,13,5,15,27,21,23,11,17,9,18,19,16,2,3,25
iter1810,19,14,11,26,25,3,13,10,4,6,9,8,0,23,5,15,27,16,22,18,21,2,17,20,12,1,7,24
iter1811,22,19,18,26,25,4,16,10,3,5,11,8,2,20,7,15,27,13,9,24,14,1,17,21,12,0,6,23
iter1812,22,13,7,26,25,2,9,0,21,12,11,3,23,17,4,14,27,15,19,8,20,10,5,18,16,1,6,24
iter1813,23,18,12,26,24,6,16,2,13,8,7,9,0,22,4,17,27,11,19,1,10,21,14,20,15,3,5,25
iter1814,20,24,17,26,22,4,18,0,19,6,15,7,9,21,3,13,27,10,2,16,14,8,11,23,12,1,5,25
iter1815,22,19,15,26,25,5,14,4,3,2,8,9,6,17,12,13,27,11,7,1,21,18,23,20,16,0,10,24
iter1816,19,25,8,26,21,4,10,6,0,5,12,7,24,20,2,9,27,22,17,14,13,11,15,18,16,1,3,23
iter1817,22,25,21,26,24,5,13,1,2,7,10,9,20,18,16,6,27,14,15,3,12,11,8,19,17,0,4,23
iter1818,22,25,11,26,23,9,16,1,0,10,14,12,20,21,5,15,27,4,7,3,13,8,19,17,18,2,6,24
iter1819,17,23,22,25,24,8,13,2,0,4,10,7,20,21,14,18,27,5,19,3,11,6,12,16,15,1,9,26
iter1820,23,21,4,26,25,5,11,1,22,2,12,7,20,19,8,13,27,15,3,18,10,9,14,17,16,0,6,24
iter1821,22,17,12,25,21,5,9,1,4,3,10,11,23,18,13,8,27,6,26,2,15,14,19,20,16,0,7,24
