,R:VERB:FORM,R:VERB:TENSE,M:NOUN,U:PREP,M:VERB:TENSE,R:PRON,R:SPELL,R:ADV,U:NOUN:POSS,R:ORTH,M:DET,U:OTHER,R:NOUN,U:ADV,M:ADJ,R:PREP,R:CONJ,U:NOUN,M:VERB:FORM,R:NOUN:NUM,R:NOUN:POSS,U:VERB:FORM,R:CONTR,M:ADV,U:DET,U:PUNCT,M:PRON,U:PART,R:NOUN:INFL,M:PART,M:CONJ,R:VERB:SVA,M:PUNCT,R:PUNCT,M:NOUN:POSS,U:VERB:TENSE,U:PRON,U:CONJ,R:WO,R:VERB,R:ADJ,M:PREP,R:VERB:INFL,U:ADJ,U:VERB,M:OTHER,U:CONTR,UNK,R:OTHER,R:PART,R:MORPH,R:DET,M:VERB,R:ADJ:FORM
iter24,42,27,14,35,22,2,44,45,40,36,26,31,30,34,38,17,1,12,32,28,0,47,48,6,9,16,21,7,50,5,11,46,18,20,10,23,39,51,37,19,13,33,53,41,15,4,52,43,24,3,29,8,49,25
iter25,45,22,42,16,34,6,39,23,8,20,19,25,21,27,51,12,50,11,48,18,0,44,38,7,10,24,35,3,47,1,5,37,14,31,9,29,32,49,41,15,30,33,52,26,40,4,53,43,28,2,36,13,46,17
iter26,48,38,23,40,16,4,49,17,44,39,27,31,15,30,50,20,33,7,8,24,0,5,29,18,11,13,22,3,36,2,35,42,21,25,6,34,47,51,41,28,14,26,52,10,32,9,53,43,37,1,45,12,46,19
iter27,47,22,39,42,33,7,35,25,4,31,26,30,28,37,21,18,20,8,49,27,0,6,52,12,11,17,19,13,53,16,9,45,15,48,3,40,50,41,46,23,24,38,1,14,36,5,43,44,29,2,32,10,51,34
iter28,45,31,20,30,38,7,51,15,49,29,24,33,25,40,22,12,26,9,36,23,2,4,52,6,14,18,16,10,53,1,11,41,17,32,13,35,48,50,46,34,19,42,0,37,21,5,3,47,28,8,39,27,43,44
iter29,48,40,31,38,18,3,51,27,21,28,30,35,15,41,29,13,49,7,50,23,0,10,26,6,9,22,17,1,47,8,14,42,11,33,2,24,36,44,46,34,16,37,53,19,32,4,52,43,25,5,39,12,45,20
iter30,42,31,29,40,20,4,46,38,17,23,25,33,27,32,15,18,50,6,52,30,1,12,39,26,11,10,37,3,51,2,21,44,13,14,7,35,48,49,41,16,19,28,0,22,45,5,53,47,24,9,36,34,43,8
iter31,50,27,49,32,16,6,46,38,42,21,28,25,20,37,14,18,13,8,52,30,1,33,22,3,9,15,35,10,53,11,41,43,19,31,7,29,47,51,39,17,12,36,0,44,24,5,2,45,26,4,34,23,48,40
iter32,47,28,14,41,18,4,38,27,16,35,25,33,29,26,20,15,5,8,49,36,1,32,52,6,11,21,46,10,50,9,37,43,17,30,2,22,34,51,45,31,12,23,0,19,39,7,53,48,24,3,42,13,44,40
iter33,48,21,31,36,26,4,30,16,46,32,25,33,22,27,39,15,8,5,50,29,0,38,47,12,11,10,14,1,52,37,9,45,20,35,6,13,43,49,40,18,19,28,51,34,23,7,53,41,24,2,42,17,44,3
iter34,45,33,17,39,19,6,50,37,8,36,24,32,22,26,48,21,2,4,44,29,0,9,1,7,10,25,14,13,51,20,5,46,18,31,11,34,42,52,49,35,15,41,23,27,30,3,53,47,28,12,40,16,43,38
iter35,46,33,29,32,18,7,39,44,8,26,30,28,17,36,35,20,6,15,25,22,0,3,48,9,12,19,13,1,51,31,10,47,24,37,4,49,41,50,23,21,16,43,53,38,34,5,52,42,27,2,40,14,45,11
iter36,50,26,30,45,19,4,8,31,37,11,17,21,15,25,40,9,43,5,44,20,0,38,12,10,7,22,35,6,51,39,36,47,13,33,2,41,28,52,46,14,18,24,49,27,34,3,53,42,23,1,29,16,48,32
iter37,48,30,21,31,16,10,35,19,39,18,33,34,22,27,46,20,2,7,52,29,0,41,49,8,11,26,3,40,51,1,9,45,13,32,14,42,43,50,44,23,12,38,24,28,17,5,53,47,25,6,37,15,36,4
iter38,46,31,17,39,20,5,44,16,8,29,22,28,18,38,13,19,23,6,48,26,0,21,47,2,14,32,9,4,50,51,41,42,12,35,1,11,37,49,40,34,30,25,52,10,24,7,53,45,27,3,33,15,43,36
iter39,47,25,34,38,21,5,23,8,36,37,26,33,20,28,11,15,46,7,50,29,0,30,48,24,10,12,17,1,39,32,19,42,14,16,3,45,43,51,44,18,13,41,53,9,35,4,52,40,31,6,27,22,49,2
iter40,44,31,45,35,20,5,46,40,48,14,21,29,30,32,42,13,19,9,52,28,0,51,36,4,8,23,17,1,37,49,33,39,12,26,6,27,50,43,10,22,11,24,2,41,16,7,53,38,25,3,34,18,47,15
iter41,46,18,31,39,22,6,50,32,14,16,28,33,21,34,36,19,17,12,49,27,0,5,51,10,11,24,7,1,48,8,29,43,15,26,4,42,45,52,37,20,30,40,9,35,25,3,53,44,23,2,41,13,47,38
iter42,47,20,16,34,18,5,45,29,46,36,25,24,26,30,8,17,4,10,50,23,0,37,43,7,14,13,11,22,48,3,12,33,15,40,1,39,44,49,28,21,9,32,52,41,27,2,53,38,31,6,35,19,42,51
iter43,49,34,42,41,16,7,51,25,47,39,18,33,20,23,32,17,0,19,48,28,3,11,26,9,10,21,13,2,50,5,14,43,15,31,4,35,37,52,40,24,22,30,8,27,44,6,53,45,36,1,29,12,46,38
iter44,46,23,21,39,22,8,43,40,11,30,24,28,16,20,33,19,2,6,50,26,0,27,48,9,10,25,47,5,51,49,4,42,13,37,7,14,38,36,34,18,17,32,52,35,31,3,53,45,29,1,41,12,44,15
iter45,48,27,23,33,21,4,46,35,5,34,30,31,29,24,37,18,9,12,49,32,0,10,51,8,15,11,16,6,50,7,13,45,19,22,2,43,41,47,39,25,14,36,52,26,38,3,53,42,28,1,40,17,44,20
iter46,48,30,41,45,20,9,51,42,5,35,28,27,26,25,22,18,17,7,49,29,0,10,24,21,11,14,8,2,52,40,37,46,15,31,6,23,44,50,34,33,39,36,53,13,19,4,1,43,32,3,38,16,47,12
iter47,46,32,27,41,11,8,43,42,24,26,28,39,34,38,45,25,16,12,53,29,1,15,37,20,7,10,22,2,52,6,17,44,13,19,4,47,23,50,36,18,9,31,0,33,40,5,51,48,30,3,35,14,49,21
iter48,49,27,42,32,14,7,53,18,46,19,29,34,23,40,33,13,8,10,51,30,0,9,50,3,15,12,36,5,28,37,43,44,11,39,6,16,24,41,45,20,22,25,52,31,35,4,2,48,21,1,38,17,47,26
iter49,44,38,29,43,6,4,48,35,14,25,28,27,26,37,23,12,24,8,53,36,0,16,52,2,7,10,33,1,49,21,34,45,19,30,11,18,42,51,39,20,17,32,47,22,41,5,9,46,31,3,40,15,50,13
iter50,46,28,39,37,16,5,53,27,40,15,33,36,17,32,30,14,19,7,52,35,1,24,48,3,12,9,29,11,51,10,25,47,13,38,8,44,42,49,34,23,20,43,0,21,22,6,2,45,31,4,41,18,50,26
iter51,45,27,35,36,24,2,49,14,43,29,22,30,26,19,17,21,41,7,50,25,0,12,47,1,15,6,13,11,51,8,31,44,23,20,3,32,42,48,38,28,18,39,53,34,16,5,52,37,33,4,40,9,46,10
iter52,49,26,30,35,16,6,45,14,34,18,27,31,29,28,38,15,1,10,52,25,0,46,50,2,9,7,12,3,21,17,37,42,22,33,5,43,48,47,51,20,8,23,53,41,32,4,13,44,24,11,40,19,39,36
iter53,44,25,27,36,15,3,42,50,10,38,21,34,28,23,19,18,9,13,49,20,0,39,45,17,7,22,11,1,51,2,16,46,14,37,5,35,43,48,41,30,26,32,53,8,31,4,52,40,24,6,29,12,47,33
iter54,48,27,42,39,26,6,49,13,23,30,22,32,34,38,11,16,12,7,35,37,0,28,50,4,9,19,8,2,51,18,21,46,15,43,5,33,40,53,17,24,25,41,52,20,29,3,14,45,36,1,44,10,47,31
iter55,46,33,32,41,20,4,43,18,12,34,25,37,19,36,9,21,38,8,50,30,0,40,31,2,14,10,13,1,51,3,11,45,27,39,7,23,48,49,42,22,15,26,52,16,17,6,53,44,28,5,35,24,47,29
iter56,45,34,33,41,29,5,49,12,17,28,30,26,14,22,15,18,1,7,51,19,3,46,37,4,11,10,38,35,52,39,21,40,16,27,8,48,20,50,42,23,9,43,0,25,32,6,53,47,31,2,36,24,44,13
iter57,46,32,25,35,31,5,48,27,43,34,19,29,21,38,13,15,23,9,50,30,0,20,52,2,12,16,6,4,51,45,10,39,11,26,1,24,22,44,37,17,18,33,49,7,41,8,53,40,28,3,36,14,42,47
iter58,48,29,17,44,33,3,51,22,9,34,23,25,24,35,20,26,31,7,40,30,0,39,43,1,12,10,11,27,50,6,18,47,15,42,5,49,36,52,45,19,13,38,53,21,16,8,2,41,28,4,37,14,46,32
iter59,49,26,36,35,12,10,46,13,21,29,23,33,18,15,43,19,11,5,39,28,0,20,40,3,9,30,7,4,53,16,37,47,14,27,2,22,42,44,48,24,8,41,51,34,25,6,52,45,31,1,38,17,50,32
iter60,46,28,39,37,21,4,50,36,7,27,22,31,33,32,19,17,2,10,40,30,0,15,47,6,8,13,9,29,51,5,18,43,16,44,3,34,48,49,38,20,26,42,52,14,25,11,53,45,24,1,41,23,35,12
iter61,47,32,26,39,15,5,45,14,44,28,23,33,18,34,16,13,1,8,42,25,0,29,49,4,10,20,12,2,37,51,9,41,17,27,3,36,30,46,40,21,19,22,52,24,38,7,53,50,31,6,35,11,48,43
iter62,49,30,35,22,19,1,40,31,9,36,23,24,32,34,33,17,10,6,42,25,0,15,45,2,8,11,43,4,46,7,18,39,13,12,5,26,51,50,41,21,20,44,52,29,37,3,53,48,28,14,38,16,47,27
iter63,47,28,48,42,19,1,44,29,9,33,18,35,23,21,45,17,34,10,49,27,0,3,30,4,11,13,6,8,51,2,22,43,24,15,12,36,38,50,41,25,32,31,52,16,40,7,53,46,20,5,37,26,39,14
iter64,48,27,43,38,33,8,49,39,46,29,25,30,28,20,17,22,13,5,50,32,0,15,10,7,9,36,16,4,52,3,19,45,14,26,11,44,21,51,37,24,23,40,6,18,34,1,53,47,31,2,41,12,42,35
iter65,48,26,29,39,25,6,50,36,47,21,27,32,38,35,14,17,15,8,49,28,0,7,42,2,10,24,23,1,52,31,13,41,11,18,5,43,45,30,22,20,16,40,34,37,12,4,53,51,33,3,44,19,46,9
