,R:VERB:FORM,R:VERB:TENSE,M:NOUN,U:PREP,M:VERB:TENSE,R:PRON,R:SPELL,R:ADV,U:NOUN:POSS,R:ORTH,M:DET,U:OTHER,R:NOUN,U:ADV,M:ADJ,R:PREP,R:CONJ,U:NOUN,M:VERB:FORM,R:NOUN:NUM,R:NOUN:POSS,U:VERB:FORM,R:CONTR,M:ADV,U:DET,U:PUNCT,M:PRON,U:PART,R:NOUN:INFL,M:PART,M:CONJ,R:VERB:SVA,M:PUNCT,R:PUNCT,M:NOUN:POSS,U:VERB:TENSE,U:PRON,U:CONJ,R:WO,R:VERB,R:ADJ,M:PREP,R:VERB:INFL,U:ADJ,U:VERB,M:OTHER,U:CONTR,UNK,R:OTHER,R:PART,R:MORPH,R:DET,M:VERB,R:ADJ:FORM
iter24,42,25,33,34,16,3,50,26,51,17,30,32,24,36,8,15,20,10,49,21,0,9,48,6,13,27,7,2,45,18,12,43,11,35,1,23,44,38,41,14,19,40,52,37,28,5,53,47,29,4,39,31,46,22
iter25,48,30,26,35,17,1,45,34,9,27,20,38,24,37,13,15,25,4,50,32,0,22,49,8,11,29,43,14,51,21,5,47,18,31,7,42,41,52,16,23,10,40,12,39,28,3,53,44,33,2,36,19,46,6
iter26,46,31,38,36,8,3,49,18,13,26,29,35,23,40,19,16,30,5,50,32,1,41,34,6,9,15,14,7,45,0,22,47,12,44,11,20,39,51,48,21,25,33,52,17,24,4,53,43,27,2,42,10,37,28
iter27,50,32,38,33,24,3,52,15,26,36,25,31,27,21,35,22,11,10,44,37,2,12,51,14,16,40,8,7,42,23,29,46,19,41,5,47,48,53,45,20,9,34,0,18,39,6,1,43,30,4,28,17,49,13
iter28,46,29,38,37,26,5,22,11,44,41,23,32,28,33,27,15,25,7,48,30,3,18,49,0,12,8,34,2,51,9,1,42,17,20,10,50,31,45,40,21,16,35,52,13,43,6,53,39,24,4,36,14,47,19
iter29,46,23,38,36,17,6,48,37,7,42,22,34,27,35,25,24,5,10,41,26,0,20,28,2,13,16,18,3,51,11,15,47,12,32,1,39,50,44,40,19,14,30,52,31,33,4,53,49,29,9,45,21,43,8
iter30,44,25,41,31,17,4,49,8,36,20,22,27,23,34,35,16,24,7,51,33,1,21,50,13,12,14,30,2,52,19,9,43,10,29,18,42,47,48,39,32,15,40,53,37,28,6,0,46,26,3,38,11,45,5
iter31,46,33,39,36,20,5,49,30,10,35,28,27,25,40,17,24,6,13,18,26,0,19,42,7,12,21,2,3,52,4,34,48,15,32,8,31,51,50,47,22,16,41,11,38,37,9,53,43,29,1,45,14,44,23
iter32,46,42,43,31,13,11,51,32,40,25,26,37,18,39,34,21,1,15,47,27,3,35,10,22,14,16,7,2,53,17,24,45,19,38,6,44,41,48,52,30,8,20,9,28,29,5,0,50,33,4,36,23,49,12
iter33,47,27,28,35,15,3,52,25,50,21,30,31,23,34,7,22,9,10,46,32,0,39,13,1,11,17,16,2,49,18,12,43,24,38,8,45,29,51,42,36,19,37,53,41,26,6,4,44,33,5,40,14,48,20
